date,job_id,name,flavor,billed_min,cost_usd,mesures_file,what
2026-08-17,6a8311e8cd3824960fcbb2ff,sonde-image-llvq [vitesse],cpu-upgrade,,0.00,,sonde a cout nul sur notre propre image - duree non journalisee
2026-08-17,6a830d53e55292eada79b600,awq-speed-4b [vitesse],l40sx1,4,0.11,awq-vllm-4b-2026-08-17.txt,AWQ 4B dans vLLM : x2.413 [2.412-2.414] sur son propre temoin f16 ; les deux bras AWQ ont route vers Marlin donc la GEMM AutoAWQ n a pas ete isolee ; 226 s de running
2026-08-17,6a83121be55292eada79b611,campagne-14b-vitesse-2 [vitesse],l40sx1,41,1.24,fusedrun-14b-2026-08-17.txt,le 14B servi : 42.9 tok/s et 9.39 Go carte contre 17.0 et 29.54 au bras dense - 128 tokens identiques - borne d opt-in de partagee enfin mesuree (101376 o) ; le rapport a tete identique n existe pas a cette taille ; 2472 s de running
2026-08-18,6a84aaaccd3824960fcbf5e7,b3-reseal-8b (CLI -lc mange par hf),cpu-xl,0,0.00,b3-8b-reseal-2026-08-18.txt,exit 127 en 5 s - erratum d invocation documente au journal
2026-08-18,6a84ab2be55292eada79cb48,b3-reseal-8b,cpu-xl,15,0.24,b3-8b-reseal-2026-08-18.txt,le 8B re-scelle depuis les projections du bucket - C1/C2/C3 verts et 5.322 au millieme
2026-08-18,6a84b267e55292eada79cbe6,f1-cublasf16,l40sx1,3,0.08,f1-cublasf16-2026-08-18.txt,bande 1 : r=1.015-1.024 - le temoin maison est au niveau de cuBLAS et tous les x publies tiennent
2026-08-18,6a84b268e55292eada79cbe8,b2-4b-plages,l40sx1,12,0.35,b2-fusedrun-plages-2026-08-18.txt,medianes 87.0 q8 / 48.3 f16 sur 5 rounds - le tie-break au token 89 rejoue
2026-08-18,6a84b26bcd3824960fcbf755,b2-8b-plages,l40sx1,21,0.63,b2-fusedrun-plages-2026-08-18.txt,le RE-SCELLE rend 128 tokens identiques et rejoue 34.1/68.2 - filet aval de B3 passe
2026-08-18,6a84b269e55292eada79cbea,b2-14b-plages,l40sx1,43,1.27,b2-fusedrun-plages-2026-08-18.txt,x2.55 q8 + LA CELLULE TETE-IDENTIQUE x1.41 - timeout APRES les mesures (erratum au journal)
2026-08-19,6a8559fce55292eada79d7e8,f4-a100-echelle,a100-large,17,1.00,f4-a100-2026-08-18.txt,cout ESTIME (premier tarif a100-large) - V3 : l echelle ne transfere pas - aucun bras decode ne bat FP16 sur HBM - bornes calcul pas memoire
2026-08-19,6a8567b4cd3824960fcc18aa,f3-events-ncu,l40sx1,29,0.86,f3-events-2026-08-19.txt,E1 ecart hote-device 0.1-0.2 pourcent + N1 ERR_NVGPUCTRPERM (issue b preregistree) + D1 driver 580.159.03
2026-08-19,6a857b07e55292eada79d93b,f5-pilote-graine1 (OOM l4x4),l4x4,2,0.13,f5-graines-4b-2026-08-19.txt,OOM a 122 s : L4 = 22.5 Go et le 4B en f32 en demande 19.8 - le pilote a coute 0.13 au lieu de 19.50
2026-08-19,6a858231cd3824960fcc1cf8,f5-graine1,rtx-pro-6000,155,7.11,f5-graines-4b-2026-08-19.txt,pilote sur la bonne carte : chaine smoke+seal+ppl validee - ppl 16.7425
2026-08-19,6a85a76ae55292eada79dba1,f5-graine2,rtx-pro-6000,155,7.11,f5-graines-4b-2026-08-19.txt,ppl 15.8836
2026-08-19,6a85a76bcd3824960fcc22f1,f5-graine3,rtx-pro-6000,155,7.10,f5-graines-4b-2026-08-19.txt,ppl 15.1027 - etendue inter-graines 10.3 pourcent et les trois paires appariees sont resolues
2026-08-20,6a877e689cd058584adc481f,f2-p2-echec-chmod,l40sx1,1,0.01,f2-p2-qtip-exactitude-2026-08-21.txt,le bit +x ne survit pas a l upload HF - fetch-qtip.sh Permission denied en 16 s (commit 7bf574f)
2026-08-20,6a878520c81709766c802fe0,f2-p2-montage-echoue,l40sx1,0,0.00,f2-p2-qtip-exactitude-2026-08-21.txt,montage volume echoue - jamais demarre - aucun log
2026-08-20,6a878b14c81709766c803022,f2-p2-echec-ntpath,l40sx1,1,0.01,f2-p2-qtip-exactitude-2026-08-21.txt,python3-minimal n a pas ntpath - mort en 16 s (commit d958070)
2026-08-20,6a878ee6c81709766c80303e,f2-p2-echec-nvrtc,l40sx1,2,0.06,f2-p2-qtip-exactitude-2026-08-21.txt,NVRTC refuse les initialiseurs designes C99 - duree et cout ESTIMES (runtime et logs indisponibles) - commit 2da9f76
2026-08-21,6a879628c81709766c803079,f2-p2-refutation1,l40sx1,3,0.10,f2-p2-qtip-exactitude-2026-08-21.txt,verification 1.60e-1 - les tuiles ne sont PAS contigues (groupes de 128 mots entrelaces pas 4) - adressage reecrit sur rejeu (commit d1ab21d)
2026-08-21,6a87fc2fc81709766c803569,f2-p2-refutation2,l40sx1,6,0.19,f2-p2-qtip-exactitude-2026-08-21.txt,verification 1.34e-1 - operandes __byte_perm inverses et state_index faux - test de rejeu tue le mutant (commit 38bd250)
2026-08-21,6a88057dc81709766c8035e8,f2-p2-montage-echoue,l40sx1,0,0.00,f2-p2-qtip-exactitude-2026-08-21.txt,montage volume echoue - jamais demarre - aucun log
2026-08-21,6a8805f8c81709766c8035ef,f2-p2-exactitude,l40sx1,6,0.18,f2-p2-qtip-exactitude-2026-08-21.txt,P2 VERT - 5 shims compiles 48-56 registres 0 spill - 1105920 lignes pire erreur qtip 5.4e-8 contre seuil 1e-5
2026-08-21,6a881ea073304676c8ec4e07,f2-p3-banc-qtip,l40sx1,30,0.89,f2-p3-qtip-banc-2026-08-21.txt,QTIP 2.246 ms contre Planes14 5.103 - r=2.27x [2.27-2.28] la motivation heritee est CONFIRMEE - et QTIP passe SOUS le plancher nullk (4.89x contre 4.77x meme processus)
2026-08-23,6a8c14287c5c7dd379236e25,g2-a100-cli-echoue,a100-large,0,0.00,g-horloges-planes12x-2026-08-23.txt,exit 127 quoting CLI - relance API Python
2026-08-23,6a8c142773304676c8ecbfb8,g1-l40s-horloges,l40sx1,3,0.08,g-horloges-planes12x-2026-08-23.txt,SM 2520 MHz epinglee sans bridage ; banc rejoue 2.14x
2026-08-23,6a8c14287c5c7dd379236e35,g2-a100-horloges,a100-large,4,0.13,g-horloges-planes12x-2026-08-23.txt,SM 1410 MHz epinglee ; ratio L40S/A100 = 1.79 = ralentissement nullk
2026-08-23,6a8c14287c5c7dd379236e33,g3-planes12x-mount-echoue,l40sx1,0,0.00,g-horloges-planes12x-2026-08-23.txt,Volume mount failed - infra transitoire - relance
2026-08-23,6a8c235573304676c8ecc120,g3-planes12x-servi,l40sx1,27,0.79,g-horloges-planes12x-2026-08-23.txt,85.0 tok/s dans 2.36 Go x1.96 vs dense ; predictions prereg tenues
2026-08-24,6a8c6fbcdc4d6ae814e83917,d1-fusion-servie,l40sx1,9,0.24,d1-fusion-servie-2026-08-24.txt,fusion 252->144 matvec/token sur le chemin servi : x1.061 [1.050-1.069] a ROT_SHARE constant ; 128 tokens identiques F1/F0 ; divergence dense au meme token 89 ; +3686400 o exactement ; meme sha256 NVRTC sur les deux bras
2026-08-25,6a8de89b984507d9db4e4664,bruit-mmlu-graines-echec-bash,l40sx1,0,0.00,bruit-mmlu-graines-4b-2026-08-25.txt,exit 127 - commande ['bash' script] au lieu de ['bash' '-lc' script] : bash lit le script comme un nom de fichier - relance 37 min plus tard
2026-08-25,6a8df15645686a1580c087ea,bruit-mmlu-graines-4b,l40sx1,20,0.58,bruit-mmlu-graines-4b-2026-08-25.txt,s = 2.92 pp entre 3 graines de calibration au 4B ; etendue 5.83 pp ; 2 paires sur 3 separees ; > seuil prereg 2.0 donc l'echelle de volume NE PART PAS (~19 $ economises) ; prediction signee 0.5-1.5 pp refutee
2026-08-30,6a93edf1984507d9db4ecbf1,m3-gate-mmlu-vllm,l40sx1,7,0.20,m3-gate-mmlu-vllm-2026-08-30.txt,GATE ROUGE par notre agregation (macro 72.85 au lieu du micro) - le dump rapatrie rend micro 70.36 contre 70.32 candle soit 0.04 pp et 2272/2280 memes picks entre vLLM et candle ; awq_marlin jamais lance
2026-08-30,6a93fc17984507d9db4ecce9,m3-gate2-bucket-vide,l40sx1,0,0.00,m3-gate2-mmlu-vllm-2026-08-30.txt,annule avant facturation - fichiers stages dans /tmp/llvq-out/m3-gate au lieu de m3-gate2 donc bucket vide ; detecte sur New Data Upload 0.00B avant de laisser tourner
2026-08-30,6a93fc4b984507d9db4eccf2,m3-gate2-mmlu-vllm,l40sx1,13,0.39,m3-gate2-mmlu-vllm-2026-08-30.txt,GATE VERT les deux bras - f16 70.34 vs 70.32 (0.02 pp) et awq_marlin 69.82 vs 70.04 (0.22 pp) contre critere 1.5 ; picks 99.61 et 99.56 pc entre candle et vLLM ; MarlinLinearKernel confirme au log
2026-08-30,6a940b8f984507d9db4ecdd6,m3-gptq-kwarg-revision,l40sx1,2,0.05,m3-gptq-2026-08-30.txt,exit 1 en 2 min - GPTQModel.load(revision=) forwarde le kwarg jusqu a Qwen3ForCausalLM.__init__ qui le refuse ; gptqmodel 7.3.5 s installe bien donc le risque install est leve ; repare par snapshot_download en amont
2026-08-30,6a940d47984507d9db4ecde9,m3-gptq2-production,l40sx1,8,0.23,m3-gptq2-production-2026-08-30.txt,QUANTIFICATION REUSSIE (131072 tokens C4 shard 1 empreinte 40300263e5d0afa2 - 1754463312 o - 3.489 b/param avec le bon denominateur contre 3.182 imprime) mais vLLM 0.26.0 REFUSE bits=2 sym=True donc aucune qualite ; artefact dans le bucket non repayable
2026-08-30,6a94160b984507d9db4ece7b,m3-gptq2-mmlu-hf,l40sx1,6,0.20,m3-gptq2-mmlu-2026-08-30.txt,f16 dans transformers 70.84 (gate vert 3e moteur) ; GPTQ 2 bits rend 24.74 pc = le hasard MAIS pick A a 68.9 pc et ecart des logits divise par 3.4 : degenerescence non distinguable entre effondrement reel et chargement casse - chiffre NON PUBLIABLE sans un test de generation
2026-08-30,6a941977984507d9db4eceb8,m3-gptq2-generation,l40sx1,2,0.05,m3-gptq2-mmlu-2026-08-30.txt,generation libre = charabia integral ; le 24.74 pc de MMLU ne mesure aucune capacite ; critere pre-pose corrige : le charabia ne distingue PAS effondre de mal charge
2026-08-30,6a941a77984507d9db4ecedc,m3-gptq2-deux-chemins,l40sx1,2,0.05,m3-gptq2-mmlu-2026-08-30.txt,wrapper et .model rendent le charabia IDENTIQUE au caractere : suspect du deballage REFUTE mais les deux ne sont pas independants (le wrapper delegue) ; colonne qualite du bras GPTQ reste vide
2026-08-30,6a94a0d7984507d9db4ed7bb,m4-iq2-cuda-reco,l40sx1,1,0.02,m4-iq2-cuda-2026-08-30.txt,reconnaissance image llama.cpp full-cuda : /app/llama-bench localise et sha256 du GGUF identique apres transfert (19a8ed49...) ; a revele que convert_hf_to_gguf.py exige torch absent de l image
2026-08-30,6a94a1d445686a1580c19524,m4-iq2-cuda-debit,l40sx1,1,0.04,m4-iq2-cuda-2026-08-30.txt,IQ2_XXS 312.85 vs f16 84.83 = x3.688 sur L40S contre x2.647 sur Metal a FICHIER IDENTIQUE (2 sha256 verifies) : le rapport nest pas stable entre backends +39 pc ; et llama.cpp f16 84.83 vs vLLM f16 83.09 a 2.1 pc corroborent du dehors notre handicap dense de 1.95x
2026-08-31,6a951e9f45686a1580c1a70c,m4-iq2-cuda-mmlu,l40sx1,2,0.06,m4-iq2-cuda-2026-08-30.txt,MMLU IQ2_XXS sur CUDA 38.87 contre 39.39 sur Metal (memes fichiers sha256 verifies) : agregat invariant a 0.52 pp MAIS meme pick 95.79 pc seulement contre 99.6 pc pour le f16 entre moteurs - les noyaux de dequantisation 2 bits divergent et les 96 desaccords s annulent presque
2026-08-31,6a952a1445686a1580c1a8b9,vague2-fusion-8b,l40sx1,15,0.45,vague2-fusion-8b-14b-2026-08-31.txt,fusion x1.055 [1.054-1.058] au 8B dans la bande [1.00;1.12] - 128 tokens identiques F1/F0/dense - +4423680 octets exact - 75.5 tok/s servi fuse dans 5.41 Go
2026-08-31,6a952c7845686a1580c1a903,vague2-fusion-14b,l40sx1,29,0.86,vague2-fusion-8b-14b-2026-08-31.txt,fusion x1.028 [1.027-1.029] au 14B (280->160 matvec/t) - bande tenue aux TROIS tailles donc GEL config servie v1 = planes14+q8+ROT_SHARE=1+FUSE=1 - 46.8 tok/s dans 9.40 Go - gain decroissant avec la taille x1.061/x1.055/x1.028
2026-08-31,6a954da821c5aa7c83649476,a1-nullk-binaire-absent,l40sx1,1,0.01,vague2-fusion-8b-14b-2026-08-31.txt,mort en 15 s sur le probe which : nullkbench compile mais absent des DEUX listes explicites du Dockerfile (cargo build --bin et COPY) - corrige et image republiee
2026-08-31,6a95e0780718b0f6d890a159,a1-nullk-mort-cli,l40sx1,1,0.01,vague2-fusion-8b-14b-2026-08-31.txt,mort en 15 s exit 127 : relance par CLI - click a parse -lc comme --label c et bash a recu le script en NOM DE FICHIER ; E4 du fichier d ecarts vague 2 ; relance corrigee par l API avec assert d identite du tableau de commande (6a95e11b)
2026-08-31,6a95e11b21c5aa7c8364a122,a1-nullk-252-144,l40sx1,1,0.01,a1-nullk-252-144-2026-08-31.txt,A1 VERT en 15 s GPU : r = t(144)/t(252) = 0.8158 [0.8150-0.8162] - BANDE MIXTE du prereg e23e9895 (prior 0.83 confirme) - 252 lancements 2.200 ms [2.198-2.201] vs 144 lancements 1.794 ms [1.793-1.796] - delta 0.406 ms pour 108 lancements = 3.76 us/lancement (calcule) coherent avec les 3.63 us du lot A 08-06 - ni A2 ni A3 elimine les parts se publient
2026-08-31,6a95e6c421c5aa7c8364a1e4,a4-a100-banc,a100-large,6,0.25,a4-a100-2026-08-31.txt,A4 banc VERT : table F4 reproduite au centieme (Planes14 0.79x Slot32 0.73x cuBLAS 1.14x nullk 1.69x) - section seg : gain fusion Slot32 1.331 ms (14.2 pc) Planes14 1.004 ms (11.6 pc) bit-identique 921600 lignes - nullkbench en prime : r = 0.8198 [0.8196-0.8202] sur A100 vs 0.8158 L40S = invariant a 0.5 pc quand les temps s etirent de x1.809 (horloges 1.787)
2026-08-31,6a95e6c421c5aa7c8364a1e6,a4-a100-fuse-ab,a100-large,14,0.58,a4-a100-2026-08-31.txt,A4 fusedrun VERT sur image sm80 nee le soir (publish --compute-cap 80) : dense 51.4 / F0 59.7 / F1 63.4 tok/s [63.4-63.5] dans 2.57 Go - fusion x1.063 [1.062-1.067] vs x1.061 L40S : TRANSFERE - 128 tokens identiques F1/F0/dense - +3686400 octets exact - aucun bras reseau >= 1.00x FP16 sur A100 : la reserve Ada devient mecanisme etendu a la geometrie fusee
2026-09-01,6a968b1421c5aa7c8364afc2,a2-e1-prealloc-ab,l40sx1,3,0.09,a2-e1-prealloc-ab-2026-09-01.txt,BRANCHE STOP du prereg ad77df46 : r = prealloc/cat = 0.8919 [0.8884-0.8953] < 0.97 - la prealloc REGRESSE de ~11 pc a fenetre 256 - prior r=1.00 REFUTE - 5 paires de rounds entrelacees un seul processus 128 tokens identiques partout - controle sain : bras cat 100.0 [99.9-100.2] reproduit le 100.6 de v1 - arret et retour operateur avant toute etape 2
2026-09-01,6a9698c30718b0f6d890c091,a2-e1b-etendu-ab,l40sx1,3,0.09,a2-e1b-etendu-ab-2026-09-01.txt,BRANCHE VERTE du prereg dfa73fd2 : r = 0.9917 [0.9883-0.9935] >= 0.97 - le store ETENDU a fenetre fixe porte l etape 2 (capture) - cat 100.0 [99.8-100.1] vs prealloc 99.2 [98.8-99.3] - la regression de 11 pc de l etape 1 est morte (vues narrow striees) - cout net de la base fixe -0.83 pc RESOLU (plage exclut 1.00) : l attention a largeur 256 constante coute ce que la copie x4 supprimee rembourse presque - ce -0.8 entre dans l arithmetique du kill
2026-09-01,6a96bd7a0718b0f6d890c809,a2-e2-graph-gate-rouge,l40sx1,3,0.09,a2-e2-graph-2026-09-01.txt,GATE 1 VERT : la capture EXISTE (stream frais + events off - le pas entier s enregistre noyaux candle + cuBLAS + les notres sans invalidation) - GATE 2 ROUGE : divergence eager/graph au token 2 (replay 1 juste replay 2 faux) - AUCUN chrono rendu comme le prereg af6c12d2 l exige - signature d un canal fige par valeur MAIS replay 1 juste ne discrimine rien (tous les canaux coincident au pas 1) - diagnostic instrumente au job suivant
2026-09-01,6a96d1270718b0f6d890cc15,a2-e2-graph-diag,l40sx1,3,0.09,a2-e2-graph-diag-2026-09-01.txt,DIAGNOSTIC OR : le PREMIER lancement du graph rend max|dLogits|=1.12e1 puis les DOUZE suivants sont EXACTS au bit pres (0.000e0) - relectures device justes partout - le graph est un rejoueur parfait sauf au lancement inaugural (noeuds alloc AUTO_FREE) - correctif : lancement jetable + hybride en secours
2026-09-01,6a96d5e10718b0f6d890cd1b,a2-e3-graph-ab,l40sx1,3,0.09,a2-e3-graph-ab-2026-09-01.txt,BRANCHE ADOPTE des seuils geles (prereg af6c12d2 / phase 802006c5) : r = graph/eager = 1.1345 [1.1336-1.1358] = +13.45 pc bout-en-bout - plage entiere au-dessus du seuil d adoption de 8 pc - net vs config v1 = +12.6 pc (gain - 0.83 de base fixe) - forme HYBRIDE (1er token decode eager puis replay - le replay pur diverge au 1er pas post-prefill meme apres jetable cf E2) - gate 128 tokens identiques 5 rounds - eager 99.2 [99.1-99.2] graph 112.5 [112.4-112.6] tok/s - prior defavorable (~7 pc plafond) REFUTE dans le bon sens
2026-09-01,6a971d5a21c5aa7c8364c27c,a2-transfert-8b-graph,l40sx1,5,0.15,a2-transfert-8b-graph-ab-2026-09-01.txt,ADOPTE au 8B : r = 1.1009 [1.1008-1.1014] = +10.1 pc plage entiere au-dessus du seuil de 8 - prior (~+9) confirme - ET le replay PUR passe son gate au 8B (128 tokens identiques sans hybride) - eager 76.2 [76.2-76.3] graph 83.9 [83.9-83.9] tok/s
2026-09-01,6a971d5b0718b0f6d890dbc5,a2-transfert-14b-graph,l40sx1,9,0.27,a2-transfert-14b-graph-ab-2026-09-01.txt,POINT DE COURBE au 14B : r = 1.0609 [1.0602-1.0611] = +6.1 pc entre 3 et 8 - le prior (~+6 sous le seuil) CONFIRME au chiffre - replay pur rouge au token 7 hybride vert 128 tokens - eager 46.9 [46.7-47.0] graph 49.8 [49.6-49.9] - PAS de gel v2 : la regle tamponnee exige les trois tailles en branche adopte
2026-09-01,6a97394c0718b0f6d890e0d0,a3-banc-occupation-1,l40sx1,4,0.12,a3-occupation-banc-2026-09-01.txt,ROUGE INSTRUIT apres 236 s : NVRTC accepte l unite (sha256 ef950895) et les 7 noyaux A3 chargent SANS spill (mr4 64 reg mr2/mr2p/persall 48 pad/pers/sk 40) - pad mr2 mr4 mr2p pers IDENTIQUES AU BIT a tv_planes_seg sur les 1105920 lignes - sk1 FAUX sur layers.0 down_proj (pire erreur 2.25e-2) apres o_proj juste : course du fixup split-K - chaque warp fence son partiel mais le thread 0 tire le ticket sans __syncthreads (le sample CUDA a UN ecrivain par bloc ce noyau en a huit) - aucun chrono rendu - correctif : barriere entre fences et ticket et un bras faux est INVALIDE sans tuer le job
